City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Destin,US,30.3935,-86.4958,63.23,59,1,4.0,clear sky
323,Moree,AU,-29.4667,149.85,66.22,72,75,13.8,broken clouds
324,Roma,US,43.2128,-75.4557,52.84,49,1,0.0,clear sky
325,Bahia Blanca,AR,-38.7196,-62.2724,69.58,22,83,2.8,broken clouds
326,Cairns,AU,-16.9167,145.7667,75.15,86,40,6.91,scattered clouds
327,College,US,64.8569,-147.8028,26.55,86,75,0.0,broken clouds
328,Kisangani,CD,0.5167,25.2,81.12,62,74,2.19,broken clouds
329,Sarangani,PH,5.4033,125.4636,84.42,72,84,11.52,broken clouds
330,Mafeteng,LS,-29.823,27.2374,69.1,20,94,7.52,overcast clouds
331,Kaka,TM,37.3482,59.6143,40.93,27,100,3.56,overcast clouds
332,Toamasina,MG,-18.1667,49.3833,77.0,83,40,3.44,scattered clouds
333,Sechura,PE,-5.5569,-80.8222,77.61,55,75,11.56,broken clouds
334,Monrovia,LR,6.3005,-10.7969,74.97,74,39,9.37,light rain
335,Kisesa,TZ,-3.0833,34.15,78.53,21,94,7.92,overcast clouds
336,Santa Cruz,BO,-17.8,-63.1667,77.05,44,75,14.97,broken clouds
337,Isla Mujeres,MX,21.2311,-86.731,82.45,62,74,14.79,broken clouds
338,Pedasi,PA,7.5333,-80.0333,82.04,72,71,2.01,broken clouds
339,Sao Filipe,CV,14.8961,-24.4956,80.94,69,33,10.0,scattered clouds
340,Sabang,ID,5.8933,95.3214,79.54,81,95,1.92,moderate rain
341,Marmashen,AM,40.8349,43.7779,43.48,65,0,1.14,clear sky
342,Formosa,AR,-26.1775,-58.1781,73.38,78,90,11.5,overcast clouds
343,Beringovskiy,RU,63.05,179.3167,13.03,86,100,8.52,overcast clouds
344,Kalabo,ZM,-14.97,22.6814,89.11,22,83,4.7,broken clouds
